CAUSATIVE FACTORS OF ROAD TRAFFIC CRASHES (1ST QUARTER 2018),,,,,,,,,,,,,,,,,,,
STATE,SPV,UPD,TBT,MDV,BFL,OVL,DOT,WOT,DGD,BRD,RTV,OBS,SOS,DAD,PWR,FTQ,SLV,OTHERS,TOTAL
Abia,9,0,2,0,2,1,0,5,3,0,2,2,0,0,0,0,0,0,26
Adamawa,29,0,2,0,0,0,0,4,0,0,1,1,0,0,0,0,1,0,38
Akwa Ibom,16,0,2,0,0,0,0,2,1,0,2,0,0,0,0,0,1,0,24
Anambra,20,0,1,3,4,0,0,4,6,0,4,1,0,0,0,1,0,0,44
Bauchi,28,0,9,0,4,2,2,7,6,4,3,2,2,0,0,0,1,0,70
Bayelsa,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4
Benue,73,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,76
Borno,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
Cross River,9,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,13
Delta,11,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,19
Ebonyi,15,0,5,3,2,0,1,3,8,0,5,7,0,1,0,0,0,0,50
Edo,28,0,4,3,13,0,0,3,2,0,4,1,0,0,0,0,0,0,58
Ekiti,7,0,0,2,2,0,0,6,4,0,0,0,0,1,0,0,0,0,22
Enugu,18,0,2,2,5,0,2,4,0,0,0,0,0,0,0,0,0,0,33
Gombe,16,0,2,0,1,1,0,0,7,0,2,0,0,0,2,0,1,0,32
Imo,12,0,4,0,12,0,1,2,0,0,1,0,0,0,0,0,0,0,32
Jigawa,29,0,8,1,0,4,1,4,1,0,5,1,0,0,0,0,0,0,54
Kaduna,126,0,27,16,2,8,1,10,24,15,6,4,0,0,0,1,0,0,240
Kano,37,1,0,0,3,8,0,3,1,0,6,0,2,0,0,0,0,0,61
Katsina,33,1,6,0,0,1,2,4,10,0,14,0,0,0,0,0,0,0,71
Kebbi,27,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,30
Kogi,59,0,7,6,4,0,1,11,0,0,1,2,0,0,0,0,3,1,95
Kwara,25,0,8,5,7,0,4,13,4,0,2,1,0,1,0,0,4,0,74
Lagos,49,0,8,11,0,0,0,5,3,0,2,0,0,1,0,0,0,3,82
Nasarawa,65,1,3,0,10,3,6,5,18,1,6,1,2,2,0,4,1,7,135
Niger,65,1,5,2,1,2,3,11,7,4,11,1,3,1,1,0,5,2,125
Ogun,66,0,17,2,10,1,0,29,7,1,7,1,1,1,0,0,0,0,143
Ondo,74,0,5,5,16,1,2,7,4,9,1,2,2,0,0,1,1,0,130
Osun,38,0,18,2,8,0,0,5,6,0,6,2,2,1,0,2,0,0,90
Oyo,66,0,6,4,5,2,0,19,19,1,2,5,0,0,0,2,0,0,131
Plateau,13,3,7,0,9,0,0,7,4,1,1,1,0,0,0,14,0,0,60
Rivers,11,0,5,3,1,0,1,5,1,1,0,2,1,0,0,0,1,0,32
Sokoto,2,0,1,0,1,2,0,0,2,1,0,0,0,0,0,0,0,1,10
Taraba,3,0,3,0,0,0,0,4,10,0,1,0,7,0,0,0,0,0,28
Yobe,10,0,7,3,0,2,1,4,7,0,2,0,1,0,0,0,0,0,37
Zamfara,11,0,3,0,0,0,0,3,2,0,2,0,0,0,0,0,2,0,23
FCT,154,1,24,9,7,0,0,8,38,0,15,17,0,1,0,4,2,4,284
